N,d,sigma,weight_decay,e_in_mean,e_out_mean,e_bias
5,18,1,0.0,0.31865450771077974,5.068264752865302,1.1278641073338345
5,18,1,0.1,0.4182896402460602,2.222564147195741,1.2248295093056987
5,19,0.01,0.0,0.03843088726491581,1.4167130655041427,0.26441182292650206
5,19,0.01,0.1,0.053141717389294074,0.8382809266794482,0.2858675494389452
5,19,0.1,0.0,0.03755419012830555,0.9161241160385322,0.39697295158929086
5,19,0.1,0.1,0.07478674502674508,0.5391443329569575,0.2581475539771088
5,19,1,0.0,0.4483504349404493,5.3553443601757955,1.3260338099523032
5,19,1,0.1,0.469829709173428,3.4857755816515796,1.3699201328991497
5,20,0.01,0.0,0.03617501944787889,1.1230537034104875,0.2541388257108626
5,20,0.01,0.1,0.07249768421999978,0.5374962340160453,0.24098477245058886
5,20,0.1,0.0,0.03614141152408305,0.6593965880211189,0.1987667395716149
5,20,0.1,0.1,0.0649562924058744,0.7457010927136486,0.29811977751473107
5,20,1,0.0,0.2794405623748134,5.163233896777354,1.2960220251807595
5,20,1,0.1,0.5847047950019386,3.3638363295874427,1.4038304919162587
10,0,0.01,0.0,0.42809110979853154,0.5758969090082572,0.5019032333922223
10,0,0.01,0.1,0.4723207793867026,0.5232014814371977,0.48712067834568873
10,0,0.1,0.0,0.47704034962911973,0.5482152633567201,0.5165414458266793
10,0,0.1,0.1,0.4388199391177804,0.5730821067335763,0.5203173608120053
10,0,1,0.0,1.352570264942841,1.596198624074753,1.4076623942189408
10,0,1,0.1,1.239865448330514,1.6724597158898724,1.6001759484407345
10,1,0.01,0.0,0.44178685765047543,0.6327877500774463,0.5149759829661071
10,1,0.01,0.1,0.2638725434907341,0.95516383973589,0.5992199753843652
10,1,0.1,0.0,0.3815932892095724,0.6678805913136564,0.49985782738654405
10,1,0.1,0.1,0.3897607697791537,0.6215127423778405,0.5242449307628744
10,1,1,0.0,1.037793341628387,1.8485062274106738,1.4813573112119263
10,1,1,0.1,1.0786349095200631,2.1119221705476527,1.4261484053876252
10,2,0.01,0.0,0.18441455312351207,0.41372767148458467,0.2783112512526253
10,2,0.01,0.1,0.22369252396891745,0.46472543778915976,0.3412513089690394
10,2,0.1,0.0,0.18184106799156816,0.29017222639984486,0.24727417330025397
10,2,0.1,0.1,0.24021776948104612,0.4259426821967806,0.3361289132800061
10,2,1,0.0,1.0985095020257636,1.5575067933181845,1.2796371287953907
10,2,1,0.1,1.0937597515018644,1.5979773519224045,1.43162280302488
10,3,0.01,0.0,0.07169285535579985,0.18520341226510773,0.12438642789646025
10,3,0.01,0.1,0.13317121584449185,0.3557365534175896,0.19277920188037018
10,3,0.1,0.0,0.08675212983660248,0.17257096766190982,0.1159252594570564
10,3,0.1,0.1,0.14169060971049866,0.3384938348357819,0.21752185222613798
10,3,1,0.0,0.9635242901630232,1.5757904919077679,1.1353458879411442
10,3,1,0.1,0.9156407172985876,1.698377320868261,1.145885294361366
10,4,0.01,0.0,0.061071148426142974,0.29972724443548726,0.10609551258510262
10,4,0.01,0.1,0.10041291224962738,0.1498584912601449,0.12331112140449449
10,4,0.1,0.0,0.05970053421553686,0.14442190884507813,0.10755575495116484
10,4,0.1,0.1,0.11590315460129712,0.20345187078063956,0.15791183015031113
10,4,1,0.0,0.7178713916381553,1.639096413399131,1.1876136393019798
10,4,1,0.1,0.9522067942284561,1.670114205597087,1.0936638885341403
10,5,0.01,0.0,0.07404302795554357,0.19383607090152608,0.10934858379344257
10,5,0.01,0.1,0.08989755387768733,0.18204662455227216,0.12566968184010463
10,5,0.1,0.0,0.08115110524671582,0.42557091736779934,0.12398099187989134
10,5,0.1,0.1,0.09332332879613014,0.19204121189226436,0.14517282042254834
10,5,1,0.0,0.7068280600231424,1.4468182844525448,1.0597747518056306
10,5,1,0.1,0.8737599682771053,1.4162919473887359,1.168610240230316
10,6,0.01,0.0,0.05842475894859998,0.3031395762074799,0.16517381667029077
10,6,0.01,0.1,0.06953632032118187,0.3674322219617542,0.14259349071467858
10,6,0.1,0.0,0.06682651616327726,0.36427562297679605,0.1407293352347013
10,6,0.1,0.1,0.10167820491787896,0.20102204142584784,0.15430036526824484
10,6,1,0.0,0.7646942131397145,1.566907475975929,1.1044343277130915
10,6,1,0.1,0.9720334450652739,1.4403097299320302,1.2195264405048847
10,7,0.01,0.0,0.0686529977388308,0.23835969426404935,0.12754878988407825
10,7,0.01,0.1,0.09466892522875245,0.2246921791518802,0.14588159907334527
10,7,0.1,0.0,0.07070212767095525,0.32127741795727355,0.1743417030158907
10,7,0.1,0.1,0.0802587027476779,0.503574554805181,0.16559134610209053
10,7,1,0.0,0.6572840596495613,1.8236582990955608,1.2996023901176654
10,7,1,0.1,0.9479659343096127,1.7079627508321356,1.2506491582550374
10,8,0.01,0.0,0.06861191242011723,0.2360135879605337,0.13369963239325283
10,8,0.01,0.1,0.08263103074053046,0.3055042082683584,0.18320503049319184
10,8,0.1,0.0,0.0743768379312637,0.31826317118087233,0.15691443901163366
10,8,0.1,0.1,0.10323142691384099,0.2915052360602788,0.18850235765285442
10,8,1,0.0,0.6852033380290532,1.733195913545763,1.2046614833374152
10,8,1,0.1,0.7572383587075276,1.515718126037963,1.145459500799686
10,9,0.01,0.0,0.05134662093117148,0.5612887665391233,0.22388740610458185
10,9,0.01,0.1,0.10019018606566883,0.2630827788439487,0.16976948584612866
10,9,0.1,0.0,0.07631097384003944,0.37516411940217176,0.14301775306029108
10,9,0.1,0.1,0.1007969242883641,0.22696640850818092,0.17319855884471524
10,9,1,0.0,0.7831746440890506,1.948838022330807,1.1097922526853443
10,9,1,0.1,0.7659373028795875,1.6524635228849107,1.2222901505441324
10,10,0.01,0.0,0.059577903593974024,0.2890438384599136,0.1568839731480564
10,10,0.01,0.1,0.08549140952003367,0.31086743339141143,0.18712259656164212
10,10,0.1,0.0,0.07583125724418999,0.37963152531645267,0.20534822699897934
10,10,0.1,0.1,0.09794738072110805,0.2908060209248982,0.17684808151692682
10,10,1,0.0,0.832943218009931,2.0197849981118816,1.2160155046721823
10,10,1,0.1,0.6361184892531708,1.8888371105848454,1.2050140463956909
